,Path,Title,Modules,Certificate,Level,Hours,Enrolled,Salary,Review,Ratings
0,Course,Learn Prompt Engineering,,With Certificate,Beginner Friendly,1,,,,
1,Free course,Learn the OpenAI API Playground,,,Beginner Friendly,1,"1,384 learners enrolled",,,
2,Course,OpenAI API Coding with JavaScript,,With Certificate,Intermediate,1,,,,
3,Course,OpenAI API Coding with Python,,With Certificate,Intermediate,1,"1,033 learners enrolled",,,
4,Course,Unit Test Development with Generative AI,,With Certificate,Intermediate,1,,,,
5,Free course,Generative AI on AWS: Deploying & Managing GenAI Services on AWS,,,Intermediate,1,,,,
6,Free course,Generative AI on AWS: Creating Intelligent Chatbots,,,Intermediate,1,,,,
7,Free course,Generative AI & the Azure Bot AI Service,,,Intermediate,1,,,,
8,Free course,Generative AI on AWS: Generating Speech with Amazon Polly,,,Intermediate,1,,,,
9,Course,Finetuning Transformer Models,,With Certificate,Intermediate,2,"1,144 learners enrolled",,,
10,Free course,Deep Dive Into Generative AI with Azure OpenAI,,,Intermediate,2,,,,
11,Free course,Generative AI on AWS: Generating Code with Amazon CodeWhisperer,,,Intermediate,1,,,,
12,Free course,Generative AI on GCP: Building Generative AI-powered Apps in GCP,,,Intermediate,1,,,,
13,Free course,Generative AI on AWS: Building GenAI Models with Amazon Bedrock,,,Intermediate,1,,,,
14,Free course,Generative AI on GCP: Deep Dive Into Generative AI Studio,,,Intermediate,2,,,,
15,Free course,Creating documents efficiently with Copilot for Microsoft 365,,,Beginner Friendly,1,,,,
16,Course,PyTorch for Classification,,With Certificate,Beginner Friendly,3,"1,780 learners enrolled",,,
17,Free course,Generative AI on AWS: Building GenAI Models with Amazon SageMaker,,,Intermediate,2,,,,
18,Free course,Optimizing communication & information with Copilot for Microsoft 365,,,Beginner Friendly,1,,,,
19,Free course,Generative AI on GCP: Harnessing Generative AI with Vertex AI,,,Intermediate,1,,,,
